"SubCategoryID","SubCategoryName","CategoryID","ProductCount"
"135","Nullam!","878","4"
"136","Duis.","825","9"
"137","Natoque.","821","1"
"138","Risus?","872","6"
"139","Rutrum!","981","5"
"140","Iaculis.","708","9"
"141","Feugiat.","486","2"
"142","Aptent!","337","8"
"143","Taciti.","626","9"
"144","Ullamcorper?","716","2"
"145","Interdum.","883","5"
"146","Dis?","354","2"
"147","Magna.","768","5"
"148","Dictumst.","653","9"
"149","Mauris.","435","7"
"150","Cras.","248","7"
"151","Massa.","882","7"
"152","Morbi!","177","7"
"153","Id!","211","9"
"154","Dictumst.","683","7"
"155","Platea?","871","4"
"156","Enim?","641","4"
"157","Blandit.","17","7"
"158","Mauris.","67","8"
"159","Sit.","112","10"
"160","Hendrerit.","972","4"
"161","Aenean.","706","8"
"162","Taciti.","847","6"
"163","Felis.","859","2"
"164","Mus!","376","2"
"165","Sagittis.","46","7"
"166","Vestibulum.","637","4"
"167","Lectus.","481","10"
"168","Est.","900","3"
"169","Ante.","746","10"
"170","Volutpat.","301","7"
"171","Interdum.","244","8"
"172","Porta!","162","2"
"173","Odio.","506","2"
"174","Nascetur.","433","10"
"175","Faucibus.","633","9"
"176","Dignissim?","743","10"
"177","Netus?","152","9"
"178","Mauris.","881","5"
"179","Ligula.","414","6"
"180","Accumsan.","63","7"
"181","Ad.","244","3"
"182","Placerat.","226","3"
"183","Lectus.","917","4"
"184","Nascetur.","748","5"
"185","Facilisis.","723","5"
"186","Senectus.","365","3"
"187","Gravida.","272","2"
"188","Cras.","804","7"
"189","Proin.","469","3"
"190","Faucibus.","639","2"
"191","Sollicitudin.","549","1"
"192","Montes.","95","6"
"193","Sollicitudin!","843","6"
"194","Tincidunt.","134","2"
"195","Consectetur.","53","3"
"196","Nulla.","943","6"
"197","Quam.","586","2"
"198","Orci.","77","1"
"199","Eleifend.","217","4"
"200","Ridiculus.","874","1"
"201","Congue.","649","4"
"202","Eros.","493","7"
"203","Platea?","839","9"
"204","Nunc.","783","8"
"205","Quisque?","826","4"
"206","Tortor.","530","1"
"207","Pulvinar?","629","5"
"208","Aptent.","73","9"
"209","Inceptos.","264","3"
"210","Elementum.","100","10"
"211","Vulputate?","270","7"
"212","Vestibulum.","540","8"
"213","Imperdiet.","211","5"
"214","Egestas.","767","2"
"215","Magnis.","504","7"
"216","Erat!","49","1"
"217","Eu.","600","6"
"218","Lacinia?","28","10"
"219","Nisl?","929","6"
"220","Eu.","272","7"
"221","Facilisi.","316","2"
"222","Non?","397","7"
"223","Id.","499","9"
"224","Lectus.","35","9"
"225","Risus?","231","2"
"226","Sociis.","962","9"
"227","Blandit!","943","8"
"228","Nisl.","58","9"
"229","Maecenas.","372","7"
"230","Sociis.","317","3"
"231","Urna.","581","4"
"232","Turpis.","118","2"
"233","Magnis.","819","10"
"234","Nunc.","23","4"
"235","Torquent.","254","6"
"236","Dapibus!","924","7"
"237","Molestie.","160","5"
"238","Platea?","34","5"
"239","Ut.","340","9"
"240","Fusce?","244","8"
"241","Class.","625","9"
"242","Torquent!","710","6"
"243","Ut.","92","7"
"244","Vitae!","42","7"
"245","Per.","238","4"
"246","Integer!","369","2"
"247","Sagittis.","743","6"
"248","Posuere.","715","5"
"249","Nunc.","571","7"
"250","Primis.","492","4"
"251","Est.","139","8"
"252","Tellus.","653","7"
"253","Adipiscing?","978","6"
"254","Augue!","41","10"
"255","Torquent.","830","3"
"256","Arcu.","698","5"
"257","Pharetra?","373","9"
"258","Sagittis.","505","6"
"259","Iaculis.","882","6"
"260","Neque!","276","9"
"261","Sit.","923","3"
"262","Maecenas.","622","5"
"263","Nascetur!","850","7"
"264","Ut.","229","5"
"265","Congue?","246","4"
"266","Pellentesque.","899","8"
"267","Tempus.","659","10"
"268","Eleifend.","648","2"
"269","Sit!","955","2"
"270","Pulvinar.","383","9"
"271","Varius.","343","3"
"272","Iaculis.","226","3"
"273","Nunc.","666","4"
"274","Phasellus.","300","5"
"275","Sagittis!","892","1"
"276","Sed.","928","7"
"277","Elit.","785","3"
"278","Tempor.","509","7"
"279","Ut.","653","7"
"280","Dictumst.","8","7"
"281","Turpis.","709","9"
"282","Ac?","905","8"
"283","Ligula.","22","5"
"284","Elementum.","655","10"
"285","Habitasse?","256","2"
"286","Ultricies.","196","9"
"287","Nascetur?","396","9"
"288","Velit.","813","3"
"289","Auctor.","444","3"
"290","Malesuada.","708","6"
"291","Hendrerit.","618","9"
"292","Ullamcorper.","953","9"
"293","Cursus.","960","8"
"294","Vulputate.","130","9"
"295","Nec.","359","1"
"296","Ridiculus.","825","4"
"297","Laoreet.","905","9"
"298","Est.","355","3"
"299","Integer.","199","5"
"300","Vulputate.","500","7"
"301","Pharetra.","684","3"
"302","Nam.","838","1"
"303","Condimentum?","344","1"
"304","Inceptos.","200","3"
"305","Magna.","121","10"
"306","Porttitor.","121","6"
"307","Amet.","229","9"
"308","Euismod.","740","10"
"309","Primis.","154","5"
"310","Gravida!","429","2"
"311","Suscipit.","456","2"
"312","Varius.","593","2"
"313","Morbi.","711","7"
"314","Donec!","526","1"
"315","Sit!","813","2"
"316","Lorem.","861","6"
"317","Tortor.","607","5"
"318","Netus.","200","3"
"319","Inceptos.","327","4"
"320","Cubilia?","707","7"
"321","Egestas!","560","8"
"322","Duis.","74","4"
"323","Eget.","582","7"
"324","Suscipit.","15","4"
"325","Leo.","682","8"
"326","Elementum.","630","8"
"327","Mi.","784","7"
"328","At.","320","3"
"329","Non!","39","8"
"330","Adipiscing.","619","2"
"331","Ultricies.","270","2"
"332","Cubilia!","297","5"
"333","Rutrum.","116","2"
"334","At.","256","6"
"335","Primis.","463","6"
"336","Habitant?","334","2"
"337","Congue?","308","9"
"338","Cursus.","868","4"
"339","Vulputate.","478","4"
"340","Suscipit.","983","5"
"341","Turpis.","763","6"
"342","Neque.","913","3"
"343","Vestibulum.","855","6"
"344","Fringilla!","324","4"
"345","Volutpat?","184","4"
"346","Iaculis.","504","3"
"347","Odio.","142","5"
"348","Urna!","516","5"
"349","Sit.","436","6"
"350","Netus?","874","8"
"351","Risus.","301","4"
"352","Fames!","88","4"
"353","Convallis.","65","3"
"354","Vulputate.","440","5"
"355","Ad.","171","9"
"356","Eget.","740","5"
"357","Facilisis!","53","3"
"358","Proin.","349","5"
"359","Morbi.","426","8"
"360","Auctor.","699","7"
"361","Interdum?","434","9"
"362","Blandit?","708","6"
"363","Vivamus.","801","8"
"364","Augue.","905","7"
"365","Condimentum.","603","8"
"366","Amet?","872","10"
"367","Nisl?","512","8"
"368","Sed.","572","5"
"369","Blandit.","417","4"
"370","Semper!","471","7"
"371","Parturient!","123","2"
"372","Nam.","908","3"
"373","Mus.","438","10"
"374","Quisque.","74","9"
"375","Phasellus!","318","4"
"376","Lectus?","22","2"
"377","Felis.","917","4"
"378","Gravida.","663","7"
"379","Fermentum.","307","4"
"380","In.","303","3"
"381","Vitae.","366","8"
"382","Hac.","317","3"
"383","Et?","835","4"
"384","Sagittis.","827","3"
"385","Molestie.","810","7"
"386","Pulvinar.","764","5"
"387","Ipsum.","21","7"
"388","Nisl.","547","3"
"389","Cubilia.","76","4"
"390","Mauris.","726","10"
"391","Consequat?","489","5"
"392","Libero.","313","8"
"393","Diam?","707","4"
"394","Augue.","198","4"
"395","Semper.","536","6"
"396","Eleifend.","23","4"
"397","Massa.","362","7"
"398","Nostra!","87","4"
"399","Sed.","278","5"
"400","Ipsum.","412","8"
"401","In.","782","7"
"402","Velit!","860","10"
"403","Felis.","28","7"
"404","Convallis.","293","9"
"405","Phasellus.","684","9"
"406","Pharetra.","125","9"
"407","Tortor.","356","5"
"408","Habitasse.","255","7"
"409","Class.","173","5"
"410","Magna.","280","2"
"411","Nulla?","567","9"
"412","Dis.","128","10"
"413","Montes.","525","6"
"414","Bibendum!","673","8"
"415","Vestibulum.","558","9"
"416","Conubia?","743","5"
"417","Risus?","437","5"
"418","Magna.","903","1"
"419","Dapibus.","297","4"
"420","Feugiat.","767","8"
"421","Elementum.","81","8"
"422","Facilisi.","201","5"
"423","Phasellus!","364","6"
"424","Massa.","647","8"
"425","Sagittis.","584","5"
"426","Imperdiet.","12","3"
"427","Magna.","314","3"
"428","Dapibus.","957","5"
"429","Mus.","754","8"
"430","Rutrum.","239","3"
"431","Dui.","804","3"
"432","Eros!","684","7"
"433","Hac!","171","10"
"434","Netus?","762","6"
"435","Pretium.","726","6"
"436","Porttitor.","222","5"
"437","Etiam!","974","10"
"438","Nulla!","174","7"
"439","Ultricies.","809","4"
"440","Dolor.","124","5"
"441","Adipiscing.","961","2"
"442","Diam.","868","7"
"443","Molestie.","413","4"
"444","Sit.","899","3"
"445","Rhoncus.","826","9"
"446","Class.","922","4"
"447","Risus.","498","7"
"448","Habitasse.","378","8"
"449","Proin!","655","1"
"450","Nisl.","396","2"
"451","Commodo.","970","1"
"452","Felis?","434","3"
"453","Iaculis!","4","10"
"454","Fermentum.","988","5"
"455","Nascetur.","908","9"
"456","Etiam.","111","5"
"457","Varius.","181","4"
"458","Porttitor.","197","9"
"459","Risus.","353","6"
"460","Condimentum.","414","10"
"461","Orci.","565","1"
"462","Mattis!","394","1"
"463","Risus.","671","3"
"464","Duis!","337","4"
"465","Diam.","59","6"
"466","Molestie.","472","2"
"467","Et.","698","9"
"468","Et.","867","7"
"469","Diam.","27","9"
"470","Lobortis.","991","7"
"471","Eu.","123","3"
"472","Sem.","41","3"
"473","Tempus.","325","7"
"474","Turpis.","956","6"
"475","Nunc?","857","4"
"476","Dolor!","311","9"
"477","Rhoncus.","251","3"
"478","Sapien.","659","3"
"479","Felis.","357","3"
"480","Diam.","780","10"
"481","Integer.","528","5"
"482","Vel.","239","7"
"483","Turpis.","101","3"
"484","Gravida?","59","6"
"485","Lobortis.","664","6"
"486","Nisl.","865","10"
"487","Ultrices.","726","5"
"488","Primis.","813","8"
"489","Curabitur.","286","4"
"490","Lobortis.","710","10"
"491","Dolor.","525","6"
"492","Blandit.","271","10"
"493","Suscipit!","289","6"
"494","Vestibulum!","120","7"
"495","Dis.","278","8"
"496","Nunc?","217","9"
"497","Ante.","914","1"
"498","Ultricies.","638","2"
"499","Facilisis.","651","2"
"500","Malesuada.","275","4"
"501","Vivamus.","87","9"
"502","Mi.","804","2"
"503","Nullam!","631","4"
"504","Sagittis.","509","5"
"505","Accumsan.","618","2"
"506","Habitasse?","872","1"
"507","Dapibus.","708","7"
"508","Ante.","621","6"
"509","Pharetra.","125","2"
"510","Lectus?","874","9"
"511","Mi.","799","5"
"512","Accumsan.","287","7"
"513","Egestas.","751","9"
"514","Parturient?","677","8"
"515","Nibh.","115","5"
"516","Sem.","411","9"
"517","Orci.","55","9"
"518","Parturient.","948","6"
"519","Dui.","453","9"
"520","Quisque!","350","3"
"521","Platea.","641","4"
"522","Odio.","196","9"
"523","Netus.","647","2"
"524","Praesent.","362","5"
"525","Sed.","408","5"
"526","Ligula.","274","8"
"527","Semper.","122","8"
"528","Fringilla.","846","5"
"529","Odio.","481","7"
"530","At!","43","8"
"531","Massa.","804","2"
"532","Augue.","139","4"
"533","Dapibus?","209","3"
"534","Venenatis.","66","5"
"535","Parturient.","839","3"
"536","Sapien.","909","8"
"537","Nisi.","790","9"
"538","Aenean.","522","3"
"539","Commodo.","855","6"
"540","Suspendisse!","436","3"
"541","Ultricies.","406","9"
"542","Donec.","733","9"
"543","Placerat.","729","4"
"544","Tempor.","305","4"
"545","Urna.","934","10"
"546","Fermentum.","975","10"
"547","Eu.","91","6"
"548","Vitae.","307","5"
"549","Torquent.","612","8"
"550","Vel.","478","2"
"551","Penatibus.","35","10"
"552","Senectus.","578","9"
"553","Sollicitudin.","222","7"
"554","Mattis.","767","3"
"555","Tortor.","753","4"
"556","Natoque.","258","6"
"557","Pellentesque?","672","5"
"558","Praesent?","778","8"
"559","Nibh.","84","5"
"560","Sagittis.","211","1"
"561","Suscipit.","57","3"
"562","Purus.","383","9"
"563","Auctor?","165","3"
"564","Turpis.","588","6"
"565","Egestas?","537","8"
"566","Facilisis.","246","10"
"567","Habitasse.","703","4"
"568","Consequat.","274","4"
"569","Iaculis.","664","8"
"570","Eleifend.","172","3"
"571","Mauris.","550","5"
"572","Interdum.","487","7"
"573","Ornare.","960","3"
"574","Dictum.","361","3"
"575","Senectus.","571","9"
"576","Scelerisque.","92","6"
"577","Imperdiet.","883","9"
"578","Ultrices.","209","9"
"579","Quisque.","41","6"
"580","Diam.","383","6"
"581","Hac.","507","8"
"582","Viverra.","595","1"
"583","Integer.","6","8"
"584","Varius?","403","10"
"585","Sem.","520","4"
"586","Maecenas.","789","5"
"587","Vehicula!","380","3"
"588","Vehicula.","51","6"
"589","Primis.","386","2"
"590","Ultricies!","405","8"
"591","Habitasse.","703","4"
"592","Integer.","536","7"
"593","Taciti!","772","7"
"594","Amet.","53","4"
"595","Augue.","816","4"
"596","Porttitor.","964","4"
"597","Libero!","587","6"
"598","Montes.","604","1"
"599","Eros.","912","4"
"600","Erat.","74","8"
"601","Facilisis.","220","8"
"602","Potenti.","232","4"
"603","Tortor.","685","4"
"604","Metus.","418","1"
"605","Ad.","846","2"
"606","Leo.","621","2"
"607","Volutpat.","554","4"
"608","Hac.","536","10"
"609","Dapibus.","878","2"
"610","Sagittis.","36","5"
"611","Orci!","186","9"
"612","Suspendisse?","881","5"
"613","Turpis.","921","1"
"614","Nostra.","128","4"
"615","Nam.","778","3"
"616","Duis.","557","6"
"617","Blandit.","824","10"
"618","Ridiculus.","660","3"
"619","Tempor?","848","3"
"620","Quis.","129","8"
"621","Dictumst!","682","6"
"622","Consequat.","555","9"
"623","Etiam?","466","5"
"624","Facilisis.","70","6"
"625","Dis.","880","1"
"626","Eros.","922","5"
"627","Velit.","193","8"
"628","Magnis.","605","7"
"629","Adipiscing!","526","3"
"630","Mauris.","980","10"
"631","Sodales.","168","3"
"632","Sollicitudin.","997","4"
"633","Ligula.","875","5"
"634","Suscipit?","32","6"
"635","Praesent.","79","4"
"636","Sem.","561","6"
"637","Ridiculus.","595","5"
"638","Habitasse.","898","1"
"639","Accumsan.","989","4"
"640","Phasellus.","941","2"
"641","Leo.","960","8"
"642","Integer.","484","1"
"643","Diam.","244","9"
"644","Nibh.","430","8"
"645","Ligula.","328","5"
"646","Condimentum.","368","7"
"647","Venenatis?","917","3"
"648","Dui.","379","10"
"649","Conubia?","501","6"
"650","Sem?","589","2"
"651","Ligula.","543","8"
"652","Diam.","963","9"
"653","Iaculis.","810","1"
"654","Diam.","42","9"
"655","Class.","82","6"
"656","Metus.","864","7"
"657","Litora.","29","6"
"658","Ad!","123","6"
"659","Dignissim.","365","6"
"660","Orci.","623","1"
"661","Quis!","455","6"
"662","Sit.","567","4"
"663","Ligula.","466","2"
"664","Odio!","732","8"
"665","Morbi.","765","5"
"666","Sociosqu.","608","5"
"667","Phasellus.","752","6"
"668","Leo.","722","7"
"669","Natoque.","492","6"
"670","Erat.","879","9"
"671","Ipsum.","554","7"
"672","Feugiat.","803","6"
"673","Sit.","207","3"
"674","Placerat.","732","3"
"675","Nunc.","708","8"
"676","Libero.","823","4"
"677","Nisl.","776","4"
"678","Quam.","856","1"
"679","Nostra.","422","2"
"680","Accumsan?","599","5"
"681","Ac.","276","2"
"682","Turpis?","384","8"
"683","Mi.","194","6"
"684","Lacinia!","889","6"
"685","Nisl.","411","3"
"686","Dictum.","869","4"
"687","Pretium!","766","7"
"688","Sem.","556","3"
"689","Nostra.","547","9"
"690","Laoreet.","823","10"
"691","Risus!","317","3"
"692","Diam.","690","2"
"693","Aptent.","691","4"
"694","Platea.","697","8"
"695","Et?","382","9"
"696","Sociosqu.","745","5"
"697","In.","29","10"
"698","Ullamcorper?","481","3"
"699","Donec.","216","9"
"700","Dui?","958","9"
"701","Dictumst!","856","3"
"702","Leo.","333","8"
"703","Posuere.","573","4"
"704","Taciti.","595","2"
"705","Commodo.","17","7"
"706","Dis!","887","9"
"707","A.","129","7"
"708","Habitasse?","804","2"
"709","Porttitor!","170","2"
"710","Tempor.","162","5"
"711","Dolor.","9","4"
"712","Faucibus.","120","5"
"713","Lacinia.","516","9"
"714","Sapien.","225","4"
"715","Gravida!","160","5"
"716","Neque.","884","8"
"717","Diam.","803","2"
"718","Ornare!","18","9"
"719","Mus.","522","6"
"720","Semper.","150","7"
"721","Velit!","723","1"
"722","Mauris.","16","7"
"723","Elementum.","235","9"
"724","Integer.","816","8"
"725","Blandit.","46","2"
"726","Dis.","620","9"
"727","Elit.","346","8"
"728","Per!","67","4"
"729","Aliquet.","81","8"
"730","Est?","440","7"
"731","Duis.","745","4"
"732","Dolor.","362","3"
"733","Cum.","326","2"
"734","Feugiat.","893","5"
"735","Pretium?","297","8"
"736","Tristique.","546","7"
"737","Donec.","392","7"
"738","Morbi.","769","8"
"739","Tristique?","392","4"
"740","Fames.","846","5"
"741","Tincidunt.","551","8"
"742","Aenean.","662","3"
"743","Dui.","394","5"
"744","Himenaeos.","792","5"
"745","Id.","511","3"
"746","Sit.","450","8"
"747","Enim.","705","7"
"748","Porttitor.","348","9"
"749","Laoreet.","263","2"
"750","Ligula.","220","1"
"751","Pharetra.","419","5"
"752","Sodales.","793","3"
"753","Cubilia.","92","3"
"754","Diam.","295","8"
"755","Cubilia.","778","4"
"756","Tortor.","132","2"
"757","Curae;.","110","8"
"758","Senectus.","287","8"
"759","Enim.","927","4"
"760","Duis.","69","1"
"761","Natoque.","902","8"
"762","Feugiat.","319","5"
"763","Sed.","667","2"
"764","Accumsan.","839","8"
"765","Neque.","134","3"
"766","Curabitur?","840","2"
"767","Aliquam.","188","7"
"768","Natoque.","423","3"
"769","Volutpat.","216","6"
"770","Ornare.","693","5"
"771","Phasellus.","5","7"
"772","Nisi.","931","8"
"773","Urna.","378","2"
"774","Platea.","326","6"
"775","Semper.","571","3"
"776","Malesuada.","204","4"
"777","Integer.","752","10"
"778","Tellus?","339","3"
"779","Facilisi.","288","8"
"780","Vehicula.","890","4"
"781","Rutrum.","303","3"
"782","Facilisis!","746","3"
"783","Vulputate!","879","3"
"784","Nibh.","569","8"
"785","Taciti.","706","10"
"786","Feugiat?","638","2"
"787","Posuere!","370","3"
"788","Rutrum?","669","7"
"789","Purus.","531","1"
"790","Nascetur.","131","6"
"791","Sodales.","116","7"
"792","Dictumst.","248","8"
"793","Tristique.","318","9"
"794","Sit.","782","8"
"795","Egestas?","636","1"
"796","A.","895","10"
"797","Vestibulum.","395","7"
"798","Ultricies?","879","2"
"799","Condimentum.","195","4"
"800","Mi.","313","2"
"801","In.","534","2"
"802","Potenti.","246","4"
"803","Fringilla.","374","6"
"804","Massa.","336","10"
"805","Urna.","808","9"
"806","Proin.","495","5"
"807","Nec?","96","8"
"808","Proin.","456","8"
"809","In.","217","10"
"810","Cubilia.","887","4"
"811","Laoreet.","831","6"
"812","Pharetra.","107","3"
"813","Suspendisse?","957","7"
"814","Parturient.","186","8"
"815","Proin.","954","4"
"816","Commodo.","265","10"
"817","Vel.","427","6"
"818","Mi.","189","9"
"819","Posuere.","472","6"
"820","Hac?","142","3"
"821","Fringilla.","298","8"
"822","Diam.","845","7"
"823","Sem.","603","7"
"824","Bibendum.","5","8"
"825","Lacinia.","277","1"
"826","Mauris.","107","6"
"827","Vulputate.","919","6"
"828","Cursus.","413","8"
"829","Diam!","381","10"
"830","Consequat.","924","6"
"831","Vehicula.","43","3"
"832","Himenaeos.","404","8"
"833","Nisi.","842","2"
"834","Cubilia.","70","5"
"835","Aliquam.","89","8"
"836","Vivamus.","409","4"
"837","Molestie.","981","5"
"838","Donec.","664","5"
"839","Mollis?","365","7"
"840","Senectus.","946","2"
"841","Sociosqu.","645","6"
"842","Aliquam?","595","9"
"843","Molestie.","15","3"
"844","Leo.","361","6"
"845","Ut.","60","3"
"846","Nam!","223","4"
"847","Sollicitudin.","607","2"
"848","Praesent!","163","1"
"849","Molestie.","201","3"
"850","Porttitor.","36","9"
"851","Curabitur.","871","7"
"852","Fringilla.","728","9"
"853","Taciti.","21","2"
"854","Primis.","172","7"
"855","Phasellus.","61","5"
"856","Sociis.","428","6"
"857","Mi.","134","2"
"858","Egestas?","957","8"
"859","Suspendisse.","677","9"
"860","Montes.","433","3"
"861","Augue!","807","6"
"862","Habitant.","879","2"
"863","Id.","505","6"
"864","Curabitur.","764","8"
"865","Lacus.","359","6"
"866","Tempus.","647","1"
"867","Rutrum.","201","10"
"868","Neque.","353","4"
"869","A.","299","4"
"870","Dignissim?","262","1"
"871","Faucibus.","897","6"
"872","Arcu.","149","6"
"873","Mus?","827","3"
"874","Ligula.","242","9"
"875","Lobortis.","550","6"
"876","Tellus.","567","3"
"877","Faucibus.","526","4"
"878","Dis.","424","4"
"879","Conubia.","996","5"
"880","Penatibus.","814","3"
"881","Mi.","341","2"
"882","Ad.","996","3"
"883","Aliquet.","954","9"
"884","Amet.","852","3"
"885","Ante.","211","2"
"886","Lectus.","674","7"
"887","Ultricies?","427","10"
"888","Dapibus.","74","9"
"889","Vulputate.","931","3"
"890","Vivamus.","176","8"
"891","Tristique.","242","7"
"892","Tempus.","937","10"
"893","Accumsan.","114","6"
"894","Velit.","418","10"
"895","Nullam?","692","5"
"896","Tellus.","129","4"
"897","Arcu.","312","8"
"898","Suscipit!","76","2"
"899","Dis?","507","3"
"900","Nulla.","8","3"
"901","Suscipit.","702","9"
"902","Fusce?","433","6"
"903","Ipsum.","619","5"
"904","Leo.","395","1"
"905","Volutpat?","880","10"
"906","Eu.","671","8"
"907","Eget.","463","4"
"908","Vehicula.","970","1"
"909","Curae;.","636","8"
"910","Turpis?","17","3"
"911","Ornare.","752","3"
"912","Congue.","828","3"
"913","Felis.","808","5"
"914","Placerat!","396","2"
"915","Hendrerit.","995","3"
"916","Vivamus.","964","4"
"917","Nec.","563","3"
"918","Magnis?","522","9"
"919","Pharetra.","184","6"
"920","Ac.","746","2"
"921","Parturient.","683","7"
"922","Nostra.","555","4"
"923","Platea.","404","5"
"924","Eros.","629","2"
"925","Suscipit.","739","10"
"926","Donec?","766","9"
"927","Fringilla!","329","3"
"928","Laoreet.","672","6"
"929","Et.","217","3"
"930","Tempus.","854","3"
"931","Diam?","827","4"
"932","Tempor.","629","4"
"933","Dictumst?","961","4"
"934","Donec.","819","2"
"935","Morbi.","141","10"
"936","Primis.","660","4"
"937","Sagittis.","531","2"
"938","Dapibus.","572","3"
"939","A?","375","4"
"940","Praesent.","928","8"
"941","A.","314","2"
"942","Venenatis.","670","9"
"943","Arcu.","264","6"
"944","Dictumst.","645","2"
"945","Imperdiet.","497","5"
"946","Himenaeos.","851","7"
"947","Parturient.","435","8"
"948","Aliquet.","322","6"
"949","Commodo.","239","10"
"950","Condimentum.","275","2"
"951","Condimentum.","639","6"
"952","Nisl.","283","4"
"953","Varius?","649","8"
"954","Cras!","624","5"
"955","Pellentesque.","686","4"
"956","Id.","716","2"
"957","Laoreet.","412","8"
"958","Tincidunt.","484","2"
"959","Dis.","37","4"
"960","Adipiscing.","797","4"
"961","Congue.","162","7"
"962","Venenatis?","662","6"
"963","Aliquam!","290","5"
"964","Porttitor.","672","6"
"965","Nibh.","948","10"
"966","Mus.","343","7"
"967","Penatibus.","37","2"
"968","Lacus.","336","3"
"969","Turpis.","397","6"
"970","Etiam.","261","5"
"971","Taciti.","784","4"
"972","Eleifend.","693","3"
"973","Sociosqu.","410","5"
"974","In.","279","2"
"975","Consectetur!","956","1"
"976","Dis.","325","2"
"977","Taciti?","507","5"
"978","Fringilla?","50","5"
"979","Consequat.","160","1"
"980","Nec.","771","9"
"981","Mi!","145","4"
"982","Venenatis.","661","6"
"983","Mauris.","210","7"
"984","Class.","329","7"
"985","Nunc.","622","1"
"986","Eget.","429","6"
"987","Morbi.","633","4"
"988","Iaculis.","689","1"
"989","Sapien.","426","5"
"990","Fusce.","244","9"
"991","Dictum.","613","10"
"992","Vivamus.","914","5"
"993","Quam.","86","5"
"994","Nulla.","139","10"
"995","Rhoncus.","612","7"
"996","Habitant.","570","6"
